player_id,goals,red_cards,player_club_id,competition_id,matches
10,48,0,398,"ELQ,IT1,EL,CIT,SCI,CLQ",136
26,0,2,16,"DFL,DFB,L1,CL,ELQ,EL",152
65,38,1,"931,162,1091","GB1,FAC,FR1,CL,GR1,EL,GRP",122
77,0,0,506,"SCI,IT1,CL",4
80,0,0,27,"DFB,L1,DFL",12
109,1,0,825,"ELQ,TR1",41
123,0,0,33,"DFB,CL,L1",7
132,9,0,11,"GB1,CL,FAC,CLQ,GBCS",77
215,26,0,1084,"ES1,CL,CDR",109
258,0,0,"65,33","DFB,L1",19
264,2,0,79,"DFB,ELQ,L1,EL",24
276,0,0,20100,"DK1,DKP",6
277,5,0,"42,3368","ELQ,DFB,L1,EL,ES1,CDR",66
299,0,0,10484,TR1,30
325,0,0,141,TR1,2
332,0,0,24,"DFB,L1",7
410,3,0,16,"DFB,L1,CL,DFL",93
411,1,0,44,L1,15
447,0,0,24,"DFB,L1",9
488,0,0,2288,"GB1,ELQ,EL,FAC",38
532,53,0,"27,86,3","DFB,L1,CL,DFL,KLUB",187
557,0,0,167,"DFB,L1",7
568,8,1,18,"DFB,CLQ,L1,EL,ELQ",100
597,4,0,"713,2293,820,2696","CLQ,TR1,CL,ELQ,RU1",76
598,0,0,"33,24","DFB,L1,CL,CLQ",50
670,0,0,"355,714","FAC,ES1",9
690,1,0,39,L1,3
691,12,1,15,"DFB,L1,EL,CL,CLQ",116
735,0,0,1210,"CIT,IT1",11
755,1,0,589,TR1,37
773,0,0,14171,FR1,5
823,1,0,4,"DFB,L1",49
831,0,0,1506,TR1,8
837,3,0,18,"EL,L1,DFB",32
886,2,0,38,"DFB,L1",18
892,0,0,39,"L1,DFB",15
933,6,0,"589,2293,192","TR1,NL1,NLP",111
992,0,0,38,L1,1
1073,3,0,"15,16","DFB,EL,L1,CL",33
1075,7,0,"38,121","DFB,L1,RU1",28
1083,1,0,128,"ELQ,GR1",28
1094,1,0,"82,379,4","DFB,L1,GB1",39
1095,0,0,44,"DFB,L1",3
1116,0,1,65,"DFB,L1",23
1126,6,0,3,"DFB,L1,EL",119
1139,2,0,39,"DFB,L1,ELQ",81
1144,0,0,18,"L1,EL",2
1150,0,0,4,"DFB,L1",66
1161,0,0,46,"ELQ,IT1,EL,CIT",61
1197,2,0,678,"DK1,ELQ,DKP",9
1277,2,0,86,"DFB,L1",128
1321,3,1,"33,114","L1,CL,DFB,CLQ,TR1",65
1327,2,0,"379,273,1159","GB1,FAC,FR1",40
1331,34,0,"121,533","RU1,ELQ,RUP,EL,DFB,L1",103
1335,0,0,42,"ELQ,DFB,L1,EL",35
1363,0,2,39,"DFB,L1",37
1368,2,0,"379,1519","GB1,FAC,SC1,SFA",86
1381,0,0,44,DFB,1
1397,1,0,512,"GB1,FAC",9
1423,2,0,"190,855","DK1,CLQ,EL,DKP,CL,FRCH,FR1",139
1426,2,0,79,"DFB,ELQ,L1,EL",38
1428,9,0,"18,60","DFB,CLQ,L1,EL",65
1443,2,1,"610,190","NL1,CL,NLP,EL,DK1,DKP",101
1474,0,0,533,"DFB,L1",11
1496,0,0,24,"DFB,L1",4
1532,1,0,28643,BE1,17
1560,0,0,306,"ELQ,NL1",8
1565,69,0,24,"DFB,L1,ELQ,EL",135
1568,8,0,38,"DFB,L1",26
1572,0,0,162,FR1,1
1573,0,0,29,"GB1,FAC",9
1586,5,0,42,"ELQ,EL,L1,DFB",116
1587,2,0,42,"ELQ,L1,EL,DFB",32
1606,1,0,2414,"DK1,ELQ,DKP",35
1613,0,2,"1091,855","ELQ,GR1,GRP,FR1",12
1659,0,0,23,"DFB,L1",16
1662,1,0,"931,60,33","GB1,FAC,L1,DFB,EL",121
1667,0,0,"82,162","L1,DFB,EL,CL,FR1,FRCH",199
1684,0,0,65,L1,18
1716,2,0,6996,UKR1,14
1725,0,0,173,"DK1,DKP",33
1726,8,0,"41,150,610","DFB,L1,ES1,CLQ,NL1,NLP,EL",126
1772,0,0,38,"L1,DFB",11
1784,0,1,"41,39","DFB,L1",144
1791,29,0,"449,167","ELQ,TR1,DFB,L1,EL",157
1792,2,0,"141,105","TR1,CL,L1",91
1841,0,0,10484,TR1,6
1896,1,1,19771,TR1,94
1944,0,1,23,"DFB,L1",24
1986,8,1,"4,167","L1,DFB,EL",102
2048,1,0,403,NL1,31
2050,16,0,"2698,1049,683,24","RUSS,RU1,ES1,CL,CDR,GR1,GRP,DFB,L1",69
2138,1,0,"7185,3729,40426,41201","GR1,GRP,RU1,RUP",60
2148,8,0,"3216,2293,2944","TR1,ELQ,EL",71
2150,1,0,16,"L1,CL,DFB,DFL",30
