player_id,current_club_id,date_of_birth,foot,position
1,123,1980-09-23,,Attack - Right Winger
100011,515,1988-08-04,right,Defender - Right-Back
10,123,1978-06-09,right,Attack - Centre-Forward
10001,123,1981-10-12,both,Defender - Right-Back
100001,14554,1991-03-16,right,Attack - Right Winger
1000152,75,2004-01-08,right,Midfield - Defensive Midfield
1000153,42457,2003-03-13,right,Attack - Left Winger
10002,123,1982-11-24,right,Midfield - Right Midfield
100020,111355,1991-01-03,left,Attack - Centre-Forward
1000161,21274,2000-06-13,left,Attack - Centre-Forward
1000253,103657,2000-02-22,right,Midfield - Attacking Midfield
1000274,78435,2006-05-11,,Attack - Right Winger
1000273,78435,2008-02-22,right,Attack - Left Winger
1000148,9881,2004-02-21,right,Defender - Centre-Back
1000150,20518,2004-06-20,right,Defender - Right-Back
1000135,8510,2004-03-12,right,Attack - Centre-Forward
1000284,4467,2003-08-29,right,Attack - Right Winger
10003,123,1984-01-21,right,Defender - Centre-Back
1000146,515,2005-03-25,left,Midfield - Defensive Midfield
100012,123,1992-01-04,left,Attack - Centre-Forward
1000301,93,2005-05-20,,Defender - Centre-Back
1000306,9778,2006-02-01,,Midfield - Central Midfield
1000307,594,2006-06-20,,Defender - Centre-Back
10005,123,1979-11-05,right,Defender - Right-Back
1000355,515,2005-01-23,right,Defender - Right-Back
1000356,1564,2005-07-20,left,Defender - Left-Back
1000312,46719,2005-07-14,,Midfield - Central Midfield
1000308,46719,2006-04-16,right,Midfield - Central Midfield
10006,123,1975-04-01,right,Defender - Centre-Back
100069,82431,1984-05-28,,Goalkeeper
1000309,9778,2004-05-06,,Defender - Centre-Back
1000675,15,2006-01-06,left,Attack - Centre-Forward
100073,123,1985-02-14,,Defender
1000674,294,2006-01-31,right,Attack - Right Winger
100071,123,1975-10-20,,Defender - Right-Back
100075,75,1980-05-14,,Defender
1000693,27354,2006-01-20,,Attack - Centre-Forward
1000774,123,2000-12-31,,Goalkeeper
1000714,69044,2000-09-30,,Defender - Centre-Back
100072,75,1982-01-01,,Defender
1000777,3958,2003-05-11,,Midfield - Central Midfield
1000775,33344,1998-04-05,right,Attack - Centre-Forward
10008,123,1982-07-29,left,Midfield - Left Midfield
100091,2035,1990-07-21,left,Midfield - Attacking Midfield
100079,123,1986-05-30,right,Midfield
100090,123,1989-09-24,right,Defender - Centre-Back
100080,123,1980-10-24,,Midfield
100081,75,1982-03-02,,Attack
1000987,3772,2003-02-20,,Midfield
100101,63228,1991-08-31,right,Attack - Left Winger
100078,515,,,Attack
1001052,69398,1998-09-09,,Defender - Right-Back
1001098,515,1997-06-20,,Midfield - Central Midfield
10010,123,1974-03-09,right,Defender - Centre-Back
10011,123,1979-08-25,right,Attack - Centre-Forward
1001055,114755,2004-01-03,,Midfield
1001198,20593,2005-01-06,,Attack
100092,123,1990-07-02,left,Attack - Centre-Forward
1001235,26856,2001-11-03,right,Attack - Centre-Forward
100122,123,1990-03-29,right,Attack - Centre-Forward
100129,34326,1992-01-27,right,Defender - Right-Back
100134,123,1982-05-05,,Goalkeeper
1001362,875,2005-01-20,left,Goalkeeper
10013,123,1975-06-23,left,Attack - Centre-Forward
100131,4035,1992-04-07,right,Midfield - Defensive Midfield
100124,776,1989-02-20,right,Midfield - Defensive Midfield
100128,3326,1992-02-11,right,Midfield - Central Midfield
100127,1701,1990-11-29,right,Goalkeeper
100136,123,1988-01-13,right,Attack - Centre-Forward
1001380,3684,2002-04-15,right,Defender - Right-Back
1001395,9777,2005-02-12,right,Midfield - Central Midfield
1001394,95333,2005-11-25,left,Midfield - Attacking Midfield
